sAddress,rAddress,sMACs,rMACs,sIPs,rIPs,protocol,startDate,endDate,start,end,startOffset,endOffset,duration,sPackets,rPackets,sBytesSum,rBytesSum,sBytesMax,rBytesMax,sBytesMin,rBytesMin,sBytesAvg,rBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,rttl,sAckRate,rAckRate,sUrgRate,rUrgRate,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,rRstRate,sWinTCP,rWinTCP,sFragmentRate,rFragmentRate,sAckDelayMax,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:02:56.801059,2025-02-13 16:02:57.248267,1739433776.801059,1739433777.248267,5.400777,5.847985,0.447209,18,15,1083,933,65,65,52,52,60.167,62.2,19373.495,16690.186,147,153,13,13,0,0,8.167,10.2,0.0263063486884622,0.028828723090035573,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.8,0.0,0.0,0.0,0.0,250.667,249.8,0.0,0.0,0.201,0.201,0.0,0.0,0.03117,0.028841
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:02:57.006703,2025-02-13 16:02:57.506701,1739433777.006703,1739433777.506701,5.606421,6.106419,0.499999,10,12,650,744,65,64,65,52,65.0,62.0,10400.019,11904.022,130,120,13,12,13,0,13.0,10.0,0.05554080009460449,0.045444185083562676,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.833,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.497,0.0,0.0,0.000203,0.045479
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:02:57.052374,2025-02-13 16:02:57.552218,1739433777.052374,1739433777.552218,5.652092,6.151936,0.499845,5,8,325,476,65,64,65,52,65.0,59.5,5201.612,7618.361,65,60,13,12,13,0,13.0,7.5,0.0003612637519836426,0.07140629632132393,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.625,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.042,0.0,0.0,0.000196,0.007163
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:02:57.404881,2025-02-13 16:02:57.844364,1739433777.404881,1739433777.844364,6.004599,6.444082,0.439484,18,15,1083,933,65,65,52,52,60.167,62.2,19714.032,16983.556,147,153,13,13,0,0,8.167,10.2,0.025839412913602942,0.028399433408464705,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.8,0.0,0.0,0.0,0.0,250.667,249.8,0.0,0.0,0.199,0.201,0.0,0.0,0.030058,0.028512
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:02:57.506877,2025-02-13 16:02:58.005599,1739433777.506877,1739433778.005599,6.106595,6.605317,0.498723,12,13,780,808,65,64,65,52,65.0,62.154,12511.954,12961.101,156,132,13,12,13,0,13.0,10.154,0.04533837058327415,0.04153132438659668,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.846,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.495,0.0,0.0,0.00016,0.041319
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:02:58.000279,2025-02-13 16:02:58.444518,1739433778.000279,1739433778.444518,6.599997,7.044236,0.44424,18,15,1083,933,65,65,52,52,60.167,62.2,19502.965,16801.724,147,153,13,13,0,0,8.167,10.2,0.026107535642736098,0.02870971815926688,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.8,0.0,0.0,0.0,0.0,250.667,249.8,0.0,0.0,0.198,0.2,0.0,0.0,0.030681,0.028749
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:02:58.005707,2025-02-13 16:02:58.048391,1739433778.005707,1739433778.048391,6.605425,6.648109,0.042685,5,7,325,424,65,64,65,52,65.0,60.571,60911.216,79465.709,65,60,13,12,13,0,13.0,8.571,0.00026595592498779297,0.007114013036092122,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.714,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.042,0.0,0.0,0.000133,0.007007
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:02:58.048396,2025-02-13 16:02:58.507287,1739433778.048396,1739433778.507287,6.648114,7.107005,0.458892,8,10,520,616,65,64,65,52,65.0,61.6,9065.316,10738.912,104,96,13,12,13,0,13.0,9.6,0.0003624303000313895,0.05097765392727322,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000187,0.000166
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:02:58.507537,2025-02-13 16:02:58.556355,1739433778.507537,1739433778.556355,7.107255,7.156073,0.048819,5,7,325,424,65,64,65,52,65.0,60.571,53257.831,69480.986,65,60,13,12,13,0,13.0,8.571,0.0003705024719238281,0.008136351903279623,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.714,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.047,0.0,0.0,0.000184,0.007989
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:02:58.552337,2025-02-13 16:02:59.052256,1739433778.552337,1739433779.052256,7.152055,7.651974,0.49992,8,11,520,668,65,64,65,52,65.0,60.727,8321.328,10689.707,104,96,13,12,13,0,13.0,8.727,0.0004497255597795759,0.049991917610168454,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.727,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.042,0.0,0.0,0.000241,0.004851
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:02:58.600714,2025-02-13 16:02:59.052218,1739433778.600714,1739433779.052218,7.200432,7.651936,0.451505,18,15,1083,933,65,65,52,52,60.167,62.2,19189.157,16531.379,147,153,13,13,0,0,8.167,10.2,0.026553700951968923,0.029019151415143694,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.8,0.0,0.0,0.0,0.0,250.667,249.8,0.0,0.0,0.204,0.201,0.0,0.0,0.031461,0.028809
